Formulation name,Procedure
Gentamicin Sulfate Cream,"1. Fat phase: Load items 2 to 6 in a fat-melting vessel. Heat to 70◦C. Stir to melt. Hold the molten fat at 70◦C while stirring at low speed in the fat-melting vessel. 2. Aqueous phase: Set the mixer at temperature 70◦C. Heat 608 g of item 8 to 70◦C in mixer. 3. Cream preparation: Transfer the molten fat at 70◦C from step 1 into mixer through a stainless steel filter while mixing at speed 10 rpm, vacuum 0.6 bar. 4. When the transfer is over, start the homogenizer at low speed. Homogenize for 10 minutes with recirculation. Temperature, 65◦C to 70◦C. 5. Stop the homogenizer, set the mixer at temperature 50◦C, speed 10 rpm (manual mode), and vacuum 0.6 bar. Cool the cream to 50◦C. 6. Drug phase: Dissolve items 7 and 1 in 86.17 g of item 8 in a stainless steel container while mixing with a stirrer. Hold the temperature at 50◦C. 7. Transfer the drug solution from step 4 to the cream phase in mixer at 50◦C while mixing. 8. Start the homogenizer at high speed, mixer speed 10 rpm. Mix and homogenize for 10 minutes under vacuum 0.6 bar. 9. While homogenization is in progress, set the temperature at 25◦C so that the cream temperature shall not increase. Continue mixing at 10 rpm under vacuum 0.6 bar until the temperature reaches 25◦C. 10. When the cream is cooled to 25◦C, unload the cream in stainless steel container and fill."
Gentamicin Sulfate Ointment,"1. Melt items 2, 3, and 5 at 70◦C in a small container using water bath. Put the melt under homogenizer (keep homogenizer warm to avoid losses caused by sticking). 2. Dissolve item 1 in item 7 and heat to 50◦C in water bath. Add step 2 to step 1 and homogenize for 2 to 3 minutes using homogenizer. Maintain the temperature around 50◦C. 3. Load item 6 in a fat-melting vessel while stirring at 70◦C. Transfer the molten mass through filter to mixer and cool it down to 50◦C. Note that the mixer should be warmed before the transfer starts to avoid sticking on the wall. Add step 2 to the step 3 while stirring.Maintain temperature at around 50◦C. 4. Rinse the homogenizer with warm item 4 and transfer the rinsing to the mixer. 5. Mix and homogenize for 10 minutes at low speed, mixer speed 10 to 12 rpm, vacuum 0.4 to 0.6 bar, and temperature 50◦C. 6. Cool the ointment to 30◦C to 35◦ C with stirring under vacuum 0.4 to 0.6 bar. 7. Transfer the ointment to stainless steel drum and fill."
Glycolic Acid Cream,"1. Heat items 1 to 5 in a stainless steel container to 80◦C. 2. In a separate container, heat items 6 to 9 to 80◦C. 3. Add step 2 to step 1 with agitation. 4. After the mixture is congealed, add glycolic acid and triisopropanolamine. 5. Continue agitation until a uniform consistency is obtained. The pH of the cream is 3.8."
"Gramicidin, Neomycin, Nystatin, and Triamcinolone Ointment","1. Charge items 5 and 7 in a melting vessel and heat to 70◦C to melt. Transfer to Becomix through stainless steel filters and cool to 40◦C while mixing. 2. Add items 2 (half quantity) and 4 to a separate vessel and disperse using a spatula. Homogenize twice with fine-gap setting to make smooth dispersion and add this dispersion to step 1. 3. Charge items 1, 2 (balance quantity), 3, and 6 in a separate stainless steel vessel and homogenize to a smooth dispersion until here are no lumps. 4. Transfer to step 2. 5. Rinse homogenizer with liquid paraffin and add rinsings. 6. Homogenize the final mixture under a vacuum of 0.4 to 0.6 at 10 rpm and set temperature to 28◦C to 30◦C. 7. Mix till ointment is smooth, transfer to a stainless steel vessel, and fill."
Hexachlorophene Cream,"1. Strain olive oil through voile cloth or equivalent into a suitable stainless steel-jacketed tank. 2. Add diglycol stearate. While heating oil–stearate mix, add cetyl alcohol, lanolin, petrolatum, and polysorbate 40 with mixing.Mix until all are dissolved and temperature of mixture reaches 65◦C to 70◦C. 3. Add and dissolve hexachlorophene in the oil mix, then add and disperse the simethicone. 4. Start heating another jacketed tank as 820 mL of purified water is added to it. Add and dissolve glycerin, methyl paraben, and borax as purified water is added and as solution is heated to 65◦C to 70◦C. 5. Stop mixer, add sodium lauryl sulfate, and continue mixing under vacuum. 6. Reserve 4 mL of solution from step 5 in a separate container to rinse equipment in step 2. 7. While both solutions are at 65◦C to 70◦ C, form the primary emulsion by pumping the aqueous solution from step 5 into the oil mixture from step 3 and QS to 200 mL with vigorous agitation. 8. Homogenize primary emulsion through a Troy Mill, or similar device, into the balance of aqueous solution, mixing continually under vacuum. Rinse pump, mill, tank, and lines with reserved solution from step 6. Note that the primary emulsion should be strained through voile cloth or equivalent before being run through the Troy mill. 9. Cool emulsion to 40◦C to 50◦ C with agitation under vacuum. 10. Dissolve perfume and menthol in the alcohol and add. 11. Using purified water, QS to 1 liter. 12. Continue mixing and cooling to 25◦C. 13. Fill."
Hydrocortisone and Nitrofurazone Cream,"1. Charge items 3, 4, 5 (90%), and 6 in a melting vessel after passing through stainless steel sieve and heat to melt. 2. In a separate vessel, heat two-thirds of item 9 to 50◦C and dissolve item 8 in it. Add to step 1. 3. Addand mix item 1 with item 5 (balance) and add to step 2. 4. Dissolve item 2 in balance of item 9 and a portion of item 5 in a separate vessel and homogenize. Add to step 3 with stirring. Mix for several hours. 5. Fill."
Hydrocortisone Gel,1. Suspend item 1 in a mixture of items 2 and 3 at 70◦C that contains item 6. 2. Add item 8 and continue to stir until the gel is cool.
Hydrocortisone Gel (2),"1. Suspend item 1 in the mixture of items 2 and 3 at 70◦C. 2. Prepare solution of item 4, heat item 5 to 70◦C, and add slowly to the hot mixture item 4. 3. Continue to stir until the gel is cool (clear, colorless gel)."
Hydrocortisone Gel (3),"1. Prepare solution of items 6 and 7 and mix slowly with solution of items 1 to 5. 2. Form a clear, colorless gel."
Hydrogen Peroxide Ointment,"1. Preparation of water phase: a. Charge purified water, polysorbate 60, and glycerin with agitation in a melting kettle. b. Heat the contents to 61◦C to 65◦C. c. Add methyl paraben and mix the composition to dissolve while maintaining temperature. 2. Preparation of oil phase: a. In a suitable vessel, charge liquid paraffin, cetostearyl alcohol, white petrolatum, glycerol monostearate, and white beeswax and mix continuously while heating to 71◦C to 75◦C. 3. Mixing of phases: a. Transfer the mixture of step 2 to the step 1 kettle, with the water phase maintained under 300-mbar vacuum. b. Add hydrogen peroxide and dissolve. c. With mixing and keeping the temperature at 61◦C to 65◦C, draw the oil phase into the water phase. d. Mix for 15 minutes with agitation and vacuum at 300 mbar and 61◦C to 65◦C. e. While mixing and under vacuum, allow the mixture to cool gradually to room temperature. 4. Fill in appropriate container."
Hydrophilic Ointment USP,1. Melt the stearyl alcohol and the white petrolatum on a steam bath and warm to approximately 75◦C. 2. Dissolve the other ingredients in the purified water and warm to approximately 75◦C. 3. Mix all ingredients together and stir until the mixture congeals.
Hydroquinone Cream,"1. Charge linoleic acid, safflower oil, jojoba oil, petrolatum, behenyl erucate, and cetyl alcohol and heat to 70◦C. 2. Add tocopherol to above just before adding the rest of the ingredients (see below). 3. Heat item 15 to 70◦C and add and dissolve item 18. Add and disperse item 16. 4. In a separate vessel, add item 1 and BHA and heat to 45◦C. Dissolve items 5, 7, and 8 and heat to 45◦C. Add sodium bisulfite. Stir to dissolve. 5. Add step 2 to step 1 in a homogenizer and then during homogenization add step 4 and also add tocopherol. Homogenize well. 6. Add items 18 and 19 and mix well. Cool to 35◦C and fill."
Hydroquinone Gel,"1. Charge ascorbyl palmitate and butylated hydroxyanisole in a suitable vessel and dissolve in oleyl alcohol, SDA anhydrous alcohol, and benzyl alcohol. Heat to 45◦C. 2. Add sodium bisulfite and mix while keeping it covered. Keep it aside. 3. In a separate vessel, charge items 11 to 16 and heat to 70◦C. 4. Cool to 55◦Cand then add tocopherol acetate, linoleic acid, and safflower oil. 5. Add step 4 into step 2 while mixing to minimize air entrapment. 6. Add item 16 and mix well. Add item 17 and mix well. 7. Cool to 30◦C and fill."
Ibuprofen and Domperidone Maleate Suppository,1. The polysorbate is dispersed in the molten Witepsol followed by the addition of the ibuprofen and domperidone. 2. The mixture is then injected into molds to produce a suppository shape and cooled to ambient temperature. 3. The suppository contains 600 mg ibuprofen and 22.5 mg domperidone maleate.
Ibuprofen Gel,1. Heat solution of items 1 to 3 to 70◦C to 80◦C. 2. Dissolve item 4 and cool. 3. Add solution of item 5. 4. Fill.
Ibuprofen Gel (2),The addition of item 5 to the formulation makes the product less sticky and is preferred. 1. Heat solution of items 1 to 3 to 70◦C to 80◦C. 2. Dissolve items 4 and 5 and cool. Add solution of item 6. 3. Fill.
Ibuprofen Gel (3),"1. Charge and mix items 2, 3, and 11 in a stainless steel vessel. 2. Add and dissolve item 5 in step 1 by stirring. 3. Add and dissolve item 6 in step 1 after passing through a stainless steel sieve. 4. Mix and homogenize suspension. 5. Dissolve item 7 in item 11 and add to step 4. 6. Add and dissolve item 8 in item 11 separately and add to step 5. 7. Charge item 2 and in a separate vessel, dissolve, and add to step 7. 8. Charge items 9 and 10 in a separate container, mix, and transfer to step 8. 9. Mix thoroughly, transfer to storage vessel, and fill."
Ibuprofen Gel Cream,1. Prepare solution of items 1 to 3 and cool to approximately 8◦C. Dissolve item 4 in items 5 and 6. 2. Maintain cool until the air bubbles escape.
Ibuprofen Gel Cream (2),1. Prepare solution of items 1 to 3 and cool to approximately 8◦C. Dissolve item 4 in items 5 and 6. 2. Maintain cool until the air bubbles escape.
Ibuprofen Gel Cream (3),"1. Charge item 9 in Becomix and heat to 80◦C. Charge items 2 to 7 one by one and mix for 20 minutes. 2. Homogenize at speed I under vacuum. Cool to 25◦C. 3. In a separate container, charge items 1, 8, and 9; dissolve and filter through polyester filter. 4. Add step 3 into step 2. Mix well and fill."
Indomethacin Gel,"1. Dissolve indomethacin in Cremophor RH 40 at 60◦C to 70◦C. 2. Add the water slowly (60–70◦C), stir the mixture well, and dissolve Lutrol F 127. 3. Cool to room temperature. Fill."
Indomethacin Gel (2),1. Heat solution of items 1 to 3 to approximately 70◦C. 2. Dissolve item 4 with stirring for approximately 30 minutes. 3. Add and mix item 5 and cool to form a yellow gel. 4. Fill.
Indomethacin Gel (3),Addition of item 5 enhances the chemical stability of item 1. 1. Heat solution of items 1 to 3 to approximately 70◦C. 2. Dissolve item 4 with stirring for approximately 30 minutes. 3. Add and mix item 5 and cool to form a yellow gel. 4. Fill.
Indomethacin Suppositories,"1. Charge the polyethylene glycol 6000, polyethylene glycol 4000 (16.3 kg), and glycerol to the Becomix machine. 2. Heat to 70◦C to melt, stir until homogenous, and cool to 60◦C to 65◦C. 3. Maintain temperature at 60◦C to 65◦C. Apply a head of nitrogen gas to hopper, then charge to the hopper the parabens. 4. Stir until dissolved. 5. Charge indomethacin slowly to hopper while stirring. Stir until completely dissolved. A clear yellow melt is produced. 6. Charge edetic acid to the hopper and stir for 15 minutes to disperse it (material does not dissolve), then cool to 55◦C to 60◦C. 7. Stir the mixture for 30 minutes, maintaining the temperature at 55◦C to 60◦C, then commence filling into molds at filling limits 1.581 to 1.679 g."
Ketoconazole Cream,"1. Charge items 3 to 5 in a steam-jacketed kettle. Heat to 75◦C and then begin stirring to ensure complete melting. Maintain temperature, keep stirring. 2. Charge items 2 and 10 in a separate heating vessel and heat to 75◦C. Add item 6 and stir, preferably under vacuum of 0.5 bar to avoid frothing and add to step 1, passing through a 100-mesh screen by a pump. Rinse with item 10 and add rinsings. 3. Stir for 1 hour. Cool to 40◦C while stirring. 4. In a separate vessel, add 10% of item 10 and item 1 to make a slurry, heat to 40◦C, and pass through colloid mill after adding another 10% of item 10. 5. Separately dissolve in 5% of item 10, item 8, and add to step above. Mix for 30 minutes. 6. Pass again through colloid mill and add to step 3, mix, and pass again through colloid mill. 7. Fill in appropriate containers."
Kojic Dipalmitate Cream,"1. Heat the Kojic dipalmitate, Finetex, FAO, bentone, and isopropyl myristate to 70◦C in a jacketed kettle. 2. Transfer to a homogenizer mill. 3. Slowly add, with high-shear agitation, the CarboSil and the microtitanium dioxide. 4. Mill and cool to 45◦C to 50◦C. 5. Add, with milling, the remaining ingredients except the fragrance and SD alcohol. Cool with milling (and cooling jacket if needed) to 25◦C to 30◦C. 6. Add, with mixing, the fragrance and alcohol. Package immediately."
